0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
1.0000001,0.55033255,0.6710504,0.66322803,0.56760645,0.6069795,0.45755944,0.6349548,0.6301702,0.64725965,0.59793156,0.61931145,0.5037558,0.66740155,0.5259657,0.6069607,0.5185612,0.6314548,0.6656904,0.5989164,0.5477477,0.60360426,0.63022166,0.6449087,0.663998,0.5341071,0.6413711,0.6860838,0.6395767,0.60781574,0.5835375,0.5835375,0.6457611,0.4905183,0.6471363,0.7711693,0.59818363,0.59913355,0.57081443,0.6594948,0.5954277,0.62192816,0.6472168,0.69090563,0.59401155,0.49372384,0.40586895,0.4575729,0.38356587,0.55103225,0.48720118,0.42902136,0.38375083,0.43855602,0.45089096,0.4053961,0.46294516,0.43644923,0.40802297,0.55470985,0.50367624,0.45560315,0.40002152,0.3605343,0.3953963,0.39266986,0.31324416,0.3307375,0.41157427,0.48525643,0.3906951,0.41056004,0.4017288,0.400467,0.3891835,0.41737765,0.36975974,0.44794753,0.44758457,0.4396767,0.4114334,0.40946642,0.56930864,0.4029003,0.35527977,0.45273766,0.34549898,0.44357875,0.39833382,0.40849704,0.44678816,0.46967906,0.4632582,0.43068248
0.55033255,1.0000004,0.64644146,0.6374169,0.5517462,0.6638968,0.57083285,0.6402644,0.5976096,0.7006372,0.63246924,0.56656814,0.5903973,0.6199072,0.5629909,0.70813257,0.6200615,0.6466579,0.66713935,0.6238537,0.69807297,0.6969506,0.6624366,0.703818,0.69334924,0.5385699,0.5996292,0.5938183,0.6627976,0.693328,0.6963336,0.6963336,0.67532146,0.46666345,0.67814463,0.6418284,0.36587307,0.3670471,0.5905784,0.64809984,0.56435996,0.56570965,0.5580054,0.60170454,0.669392,0.5409441,0.48835716,0.5161712,0.544679,0.5930959,0.5261365,0.49434605,0.41822988,0.55400944,0.5387398,0.5240899,0.5029186,0.51099694,0.53382975,0.47840902,0.55494726,0.47725633,0.4663977,0.50382817,0.492363,0.41277918,0.46726418,0.54082304,0.5113035,0.5717597,0.47906902,0.5186719,0.52123505,0.49860215,0.5191824,0.56198186,0.55402154,0.5500138,0.5465131,0.6007335,0.5381089,0.47285357,0.62237793,0.42465067,0.4494878,0.49922663,0.45817953,0.41692546,0.5375507,0.474097,0.46568385,0.49785843,0.53731096,0.46961623
0.6710504,0.64644146,1.0000001,0.99598956,0.6439148,0.6347522,0.5988981,0.6386928,0.62640417,0.7015186,0.6148332,0.6928877,0.6474491,0.69913965,0.5407338,0.635582,0.6119663,0.6954647,0.6817941,0.6549679,0.6267351,0.6664517,0.685482,0.665622,0.6569601,0.53161985,0.6151916,0.63762015,0.6725922,0.6752479,0.6292111,0.6292111,0.6274063,0.50625396,0.63146776,0.74167794,0.50652707,0.50650024,0.63625544,0.69940436,0.5924885,0.58279985,0.6605444,0.5898451,0.588588,0.5809257,0.43797588,0.44032776,0.4392358,0.5876573,0.5420331,0.4979214,0.43160513,0.53053904,0.6129189,0.491714,0.523731,0.4664043,0.48874632,0.4992648,0.52603996,0.4684009,0.42067927,0.47672912,0.4849538,0.38955653,0.41930574,0.39047,0.4825993,0.49339816,0.44678345,0.48571652,0.52536654,0.47018084,0.43016315,0.48186627,0.45690507,0.50399214,0.50537807,0.5148623,0.48300058,0.51149994,0.57155466,0.42284712,0.45456305,0.50623584,0.4719605,0.45810172,0.47349632,0.46880066,0.43967754,0.5094728,0.53276974,0.4696722
0.66322803,0.6374169,0.99598956,1.0000004,0.63798904,0.625736,0.5776266,0.63210535,0.61292547,0.69961804,0.6090914,0.69660056,0.6633172,0.6965604,0.5331248,0.6327959,0.6008854,0.6848329,0.68270487,0.64796925,0.62640053,0.6528569,0.6902497,0.6619213,0.63677436,0.53729934,0.6146158,0.6306288,0.6630986,0.6620985,0.6232636,0.6232636,0.6213688,0.49282393,0.61237365,0.73885816,0.49477258,0.4939163,0.6343749,0.6957671,0.58390486,0.57383585,0.65082747,0.5878863,0.5764159,0.5702023,0.4227346,0.43773177,0.4381571,0.5801705,0.5362024,0.49845144,0.43102127,0.52387106,0.6102788,0.4901811,0.5220336,0.45787346,0.48459175,0.49755982,0.5216388,0.47004038,0.41314885,0.46917555,0.48693255,0.37997213,0.41590133,0.3890488,0.48050508,0.4887075,0.42780426,0.48192707,0.5187695,0.46681714,0.42363063,0.4753647,0.45388988,0.4978355,0.4985382,0.50794446,0.47659296,0.51005065,0.5662662,0.42267817,0.44655126,0.503101,0.47220218,0.4597695,0.46924922,0.46928263,0.43818456,0.507101,0.530957,0.4705996
0.56760645,0.5517462,0.6439148,0.63798904,0.99999964,0.5729067,0.5434555,0.5531978,0.59179145,0.5399308,0.43843034,0.5785813,0.5230297,0.5572039,0.40937367,0.4386811,0.6358227,0.6034959,0.57949734,0.6598241,0.5001919,0.52061874,0.5471107,0.55749625,0.59914494,0.39580238,0.4911727,0.5585122,0.5561724,0.5485687,0.5045716,0.5045716,0.5190869,0.5139014,0.5551868,0.59653556,0.52106094,0.5219665,0.601262,0.5233341,0.5283717,0.5036892,0.52897525,0.4981332,0.4181433,0.52289873,0.49015784,0.43946972,0.38807064,0.42476004,0.41888392,0.38477293,0.3455148,0.414436,0.47998047,0.41342518,0.41380656,0.3339465,0.46325558,0.35102397,0.48470995,0.40959615,0.3564989,0.46481228,0.4307113,0.2912104,0.33111286,0.34356734,0.4317076,0.42625737,0.3429168,0.43476254,0.44795483,0.39299804,0.3638827,0.40592316,0.38361531,0.41683242,0.4150201,0.45384273,0.4155526,0.42755464,0.45914775,0.31150627,0.35230044,0.42567396,0.4284156,0.39149567,0.42277738,0.38017437,0.3498975,0.43351665,0.45510447,0.4057552
0.6069795,0.6638968,0.6347522,0.625736,0.5729067,0.99999994,0.59233403,0.7110449,0.64271975,0.68819374,0.6693158,0.6002781,0.49414477,0.6724875,0.5658331,0.64811873,0.5948642,0.6662849,0.7097453,0.6678326,0.6142575,0.6427222,0.6853575,0.6611757,0.7479105,0.5413349,0.71969223,0.6423785,0.6756395,0.6768267,0.60197276,0.60197276,0.65876365,0.58225197,0.7389778,0.64146024,0.5598032,0.56130034,0.62834835,0.7177006,0.5445784,0.705391,0.6353491,0.7192936,0.5778403,0.5275921,0.5658659,0.51653147,0.45834276,0.6181402,0.5696329,0.51836795,0.47350794,0.5202616,0.5705253,0.4723775,0.54301167,0.50372994,0.52682275,0.5214304,0.5938681,0.52960217,0.5015826,0.5074982,0.52128565,0.42445472,0.39372206,0.44006464,0.54787433,0.5790029,0.48062304,0.5385437,0.49432072,0.46786794,0.49132222,0.5556037,0.49554962,0.5260395,0.5170355,0.52971894,0.5564728,0.46233281,0.583926,0.46290928,0.45103616,0.5419387,0.42654297,0.49321255,0.53285897,0.51417655,0.51630217,0.50785625,0.50655586,0.46138287
0.45755944,0.57083285,0.5988981,0.5776266,0.5434555,0.59233403,1.0,0.5401892,0.60187054,0.54935026,0.54534256,0.56835794,0.39256272,0.63438606,0.37272155,0.4505737,0.6369092,0.5921686,0.5618916,0.65448964,0.47036982,0.58529776,0.54811656,0.54726744,0.62339073,0.4178549,0.47138768,0.54660624,0.6315547,0.66121393,0.51957566,0.51957566,0.51954746,0.5421619,0.6684987,0.5426719,0.4791459,0.4802694,0.5229221,0.62674165,0.5481293,0.6026942,0.5536047,0.5799073,0.52823365,0.5465916,0.6521474,0.47532997,0.4591975,0.5359079,0.5001718,0.48497164,0.40759608,0.543855,0.54068786,0.4649383,0.47289255,0.44372466,0.5004032,0.4344888,0.48564142,0.45432246,0.41378388,0.46321875,0.47922236,0.43218482,0.48314562,0.3934605,0.52809405,0.4935287,0.43981346,0.46915466,0.48668632,0.47796258,0.5019113,0.5229923,0.49408627,0.5052048,0.49609196,0.5418364,0.5167343,0.4269792,0.54882383,0.3869128,0.4400826,0.45599023,0.48100248,0.45038682,0.52246845,0.5048999,0.44409934,0.5223094,0.5249486,0.47777587
0.6349548,0.6402644,0.6386928,0.63210535,0.5531978,0.7110449,0.5401892,1.0000005,0.59660834,0.66761243,0.63517445,0.682693,0.5693064,0.7309007,0.49687344,0.7295692,0.5455867,0.6542383,0.71908003,0.58842164,0.6223254,0.66469204,0.6639376,0.6822176,0.7034085,0.5648304,0.68726474,0.6354148,0.6704144,0.67938733,0.62688804,0.62688804,0.69040054,0.5588048,0.70428807,0.70341355,0.51236874,0.5093198,0.62785923,0.7807329,0.56928027,0.6301765,0.65825516,0.6539664,0.6611326,0.58048683,0.55006737,0.44139442,0.42363754,0.5274014,0.4988312,0.44184172,0.4028571,0.48192263,0.5246726,0.45390967,0.50426036,0.40866694,0.4753798,0.5095964,0.53965205,0.4403319,0.41029772,0.39906752,0.4015869,0.3691213,0.31348956,0.35051757,0.45256215,0.48827899,0.46529755,0.42217126,0.43747595,0.4280138,0.38370535,0.46872714,0.42521548,0.42824876,0.42790222,0.52934545,0.43538743,0.45466286,0.55145514,0.39282277,0.3955281,0.49602544,0.38790566,0.41157466,0.4016171,0.46304262,0.45164034,0.5110187,0.48169875,0.41937676
0.6301702,0.5976096,0.62640417,0.61292547,0.59179145,0.64271975,0.60187054,0.59660834,0.99999994,0.53809613,0.5308332,0.537583,0.42632264,0.5502069,0.3987715,0.4917226,0.46486014,0.64359033,0.51633537,0.6989553,0.54828733,0.5776176,0.56710714,0.55847543,0.7067587,0.35082993,0.49036908,0.48732245,0.5678112,0.53730327,0.5330166,0.5330166,0.5600944,0.5615712,0.66278625,0.59141237,0.5408014,0.54802907,0.5208002,0.5331652,0.4890393,0.67378426,0.5953015,0.50777715,0.5340641,0.4856614,0.50660455,0.4095834,0.40649375,0.4602269,0.42873362,0.35182616,0.34380612,0.42654637,0.46365014,0.50699127,0.42107773,0.4221651,0.52589333,0.3649175,0.46506307,0.4083017,0.32841986,0.41280264,0.43400115,0.34051013,0.4311323,0.37527236,0.5036986,0.4151863,0.45879608,0.39042383,0.38476115,0.41996735,0.42218325,0.41624832,0.36889797,0.37982666,0.37865278,0.47424048,0.51442885,0.49348232,0.4761119,0.3625995,0.38051248,0.43881276,0.3332613,0.39625332,0.48455042,0.4006955,0.39204672,0.44168195,0.4356448,0.35782066
0.64725965,0.7006372,0.7015186,0.69961804,0.5399308,0.68819374,0.54935026,0.66761243,0.53809613,1.0,0.68468064,0.70890975,0.5652837,0.7083594,0.5080111,0.6941807,0.65912205,0.7117282,0.73509705,0.6190357,0.71115774,0.72588265,0.70964336,0.74601007,0.6977274,0.54455864,0.6954579,0.8051381,0.75492096,0.75827366,0.75125533,0.75125533,0.74351984,0.4001408,0.7091109,0.75790066,0.4052644,0.40327427,0.7089133,0.76856774,0.606144,0.59691197,0.6024118,0.7016567,0.6132223,0.60941845,0.46416625,0.6854185,0.63470256,0.76063794,0.68291163,0.65706366,0.5819863,0.66870075,0.67049706,0.645675,0.7119644,0.67419714,0.6016624,0.7235886,0.7025785,0.67661715,0.6347505,0.62289953,0.6164592,0.54742366,0.5438321,0.56885326,0.62758577,0.70761615,0.56389654,0.6649016,0.6147559,0.5998405,0.6359082,0.6789761,0.63897234,0.6998589,0.69871247,0.6309735,0.6401591,0.6097092,0.7562091,0.5984121,0.5848378,0.65296763,0.584932,0.6458234,0.615555,0.5988329,0.63436747,0.6645181,0.6596562,0.6064761
